position,x,y
ankle_left,217.090080678463,460.189655661583
knee_left,221.470151185989,378.84873329103
hip_right,230.939206361771,280.50522851944
hip_left,172.927824497223,280.822907686233
knee_right,177.728576391935,377.699182510376
ankle_right,190.050147294998,459.635453939438
wrist_right,303.051919460297,161.563962459564
elbow_right,290.755435347557,147.985043823719
shoulder_right,247.649405241013,98.7306380271912
shoulder_left,157.463366031647,99.1338398754597
elbow_left,111.178719758987,147.65337908268
wrist_left,21.8777723312378,220.129934668541
chin,204.46538233757,72.7473847866058
forehead,209.927023045719,10.8452363163233
